"id","study_id","sex","race","T_TOCA_breakrule","T_TOCA_harmpro","T_TOCA_breakthg","T_TOCA_takeprop","T_TOCA_fight","T_TOCA_lies","T_TOCA_yell","T_TOCA_stub","T_TOCA_teas","hs"
"FT112","FAST","male","white",0,0,NA,0,0,0,1,1,1,1
"FT113","FAST","female","black",1,0,NA,1,1,1,1,1,1,1
"FT115","FAST","female","black",1,0,NA,0,0,0,0,0,0,0
"FT116","FAST","male","black",1,0,NA,1,0,1,1,1,1,1
"FT117","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT118","FAST","male","black",0,0,NA,0,0,1,0,0,1,1
"FT119","FAST","male","black",1,0,NA,0,0,0,1,1,1,1
"FT120","FAST","female","white",1,0,NA,1,1,1,1,1,1,1
"FT121","FAST","female","black",1,0,NA,0,0,1,0,1,1,0
"FT123","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT124","FAST","female","black",1,0,NA,0,1,0,0,1,1,1
"FT125","FAST","female","black",1,1,NA,0,0,1,0,1,1,0
"FT126","FAST","male","white",1,1,NA,1,1,1,1,1,1,0
"FT127","FAST","female","black",1,0,NA,0,0,0,0,1,1,0
"FT128","FAST","male","white",1,0,NA,0,0,1,0,1,1,1
"FT129","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT130","FAST","female","white",1,0,NA,1,1,1,1,1,1,1
"FT131","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT132","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT133","FAST","male","white",0,0,NA,1,0,0,0,1,0,1
"FT134","FAST","male","white",1,0,NA,0,1,0,1,1,1,1
"FT135","FAST","male","black",1,0,NA,0,1,1,1,1,1,1
"FT136","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT137","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT138","FAST","female","black",1,0,NA,1,1,1,1,1,1,1
"FT139","FAST","female","black",1,1,NA,0,0,1,1,1,1,1
"FT140","FAST","female","black",1,0,NA,1,1,1,1,1,1,0
"FT141","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT142","FAST","male","black",1,0,NA,1,0,1,0,1,1,1
"FT143","FAST","female","black",1,0,NA,1,1,1,1,1,1,1
"FT144","FAST","male","white",1,0,NA,0,1,1,0,1,1,1
"FT145","FAST","male","white",0,0,NA,0,0,0,0,1,0,1
"FT146","FAST","male","black",0,1,NA,1,1,1,1,1,1,1
"FT147","FAST","female","white",1,0,NA,1,0,0,0,0,1,1
"FT148","FAST","male","white",0,0,NA,0,0,0,0,0,0,1
"FT149","FAST","male","white",1,0,NA,1,0,1,1,1,1,1
"FT150","FAST","male","white",1,0,NA,0,0,1,0,1,0,1
"FT151","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT152","FAST","female","black",1,0,NA,0,0,0,1,0,1,1
"FT153","FAST","male","white",0,0,NA,0,1,0,1,0,1,1
"FT154","FAST","female","black",1,0,NA,1,1,1,1,1,1,1
"FT155","FAST","male","white",1,0,NA,0,1,0,1,1,1,1
"FT157","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT158","FAST","female","black",1,1,NA,1,1,1,1,1,1,1
"FT159","FAST","male","black",1,0,NA,1,0,0,1,1,1,0
"FT160","FAST","male","black",1,0,NA,0,0,0,1,1,1,1
"FT162","FAST","female","black",1,0,NA,1,0,1,1,1,1,1
"FT163","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT164","FAST","female","white",0,0,NA,0,1,0,1,1,0,1
"FT166","FAST","female","black",1,0,NA,1,1,1,1,1,1,0
"FT167","FAST","male","white",1,0,NA,0,1,1,1,1,0,1
"FT169","FAST","female","white",0,0,NA,0,0,0,0,1,0,0
"FT170","FAST","female","black",1,0,NA,0,0,0,1,1,1,1
"FT171","FAST","male","white",0,0,NA,0,0,0,0,0,0,1
"FT172","FAST","female","black",0,0,NA,0,0,0,0,0,0,1
"FT173","FAST","female","white",1,1,NA,1,1,1,1,1,1,1
"FT174","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT175","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT176","FAST","female","white",1,1,NA,1,1,1,1,1,1,0
"FT177","FAST","male","white",1,0,NA,0,1,1,1,1,1,1
"FT178","FAST","male","white",1,0,NA,0,1,1,1,1,1,1
"FT179","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT180","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT181","FAST","male","white",1,1,NA,1,0,0,1,1,1,1
"FT182","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT183","FAST","male","black",1,0,NA,0,1,1,1,1,1,1
"FT184","FAST","male","white",1,0,NA,0,0,0,0,0,1,0
"FT185","FAST","male","black",1,0,NA,1,0,1,0,1,1,0
"FT186","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT187","FAST","male","black",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"FT188","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT189","FAST","female","white",1,0,NA,1,1,1,0,1,1,0
"FT190","FAST","male","white",1,0,NA,0,1,0,0,0,1,1
"FT191","FAST","male","white",1,1,NA,1,1,1,1,0,0,0
"FT192","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT193","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT194","FAST","male","black",1,1,NA,1,1,1,0,1,1,1
"FT195","FAST","female","white",1,0,NA,0,1,0,1,1,1,1
"FT196","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT197","FAST","female","white",1,0,NA,0,0,0,0,0,0,0
"FT198","FAST","female","white",1,0,NA,1,1,1,1,1,1,1
"FT200","FAST","female","black",0,0,NA,0,0,0,0,0,0,1
"FT201","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT202","FAST","male","black",1,0,NA,0,0,0,1,1,0,1
"FT203","FAST","female","white",0,0,NA,0,1,0,1,1,1,1
"FT205","FAST","male","white",1,0,NA,0,0,0,0,1,0,1
"FT206","FAST","male","black",1,0,NA,1,1,1,1,1,1,1
"FT207","FAST","male","white",1,1,NA,1,1,1,1,1,1,0
"FT208","FAST","female","white",1,1,NA,1,1,1,1,1,1,0
"FT209","FAST","male","white",1,1,NA,0,1,1,1,1,1,1
"FT210","FAST","male","white",1,0,NA,1,1,1,0,0,1,0
"FT211","FAST","female","white",1,1,NA,1,1,1,1,1,1,1
"FT212","FAST","male","black",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"FT214","FAST","female","white",0,0,NA,0,0,0,0,0,0,1
"FT215","FAST","male","white",1,0,NA,0,1,0,1,0,1,1
"FT216","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT217","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT218","FAST","male","black",1,0,NA,1,0,1,0,1,1,0
"FT219","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT220","FAST","female","white",1,1,NA,1,1,1,1,1,1,1
"FT221","FAST","male","white",1,1,NA,1,1,0,0,0,1,1
"FT222","FAST","female","white",1,1,NA,1,1,1,1,1,1,1
"FT223","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT224","FAST","female","white",0,0,NA,0,0,0,0,1,0,1
"FT225","FAST","female","black",1,1,NA,1,1,1,1,1,1,0
"FT226","FAST","male","black",1,0,NA,1,1,1,1,1,1,1
"FT227","FAST","female","black",1,1,NA,1,1,1,1,1,1,0
"FT228","FAST","male","white",1,0,NA,0,0,1,0,1,1,1
"FT229","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT230","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT231","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT232","FAST","male","white",1,0,NA,0,1,0,0,1,0,1
"FT233","FAST","male","white",0,0,NA,0,0,0,0,0,0,0
"FT234","FAST","male","white",1,0,NA,0,1,1,1,1,1,1
"FT235","FAST","female","white",1,0,NA,1,1,1,1,1,1,1
"FT236","FAST","male","black",1,0,NA,1,1,1,1,1,0,1
"FT237","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT238","FAST","male","black",1,0,NA,1,1,1,1,1,1,1
"FT239","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT240","FAST","female","black",1,0,NA,0,1,1,1,1,0,1
"FT241","FAST","female","white",0,0,NA,0,0,0,0,0,1,1
"FT242","FAST","male","black",1,0,NA,0,1,1,1,1,1,0
"FT243","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT244","FAST","male","black",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"FT245","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT246","FAST","male","white",0,0,NA,0,0,0,0,0,0,1
"FT247","FAST","male","white",1,0,NA,0,1,0,1,0,0,1
"FT248","FAST","male","white",1,0,NA,1,1,0,0,1,1,1
"FT249","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT250","FAST","male","white",1,0,NA,0,1,0,1,0,1,1
"FT251","FAST","male","black",1,0,NA,1,1,0,1,1,1,1
"FT252","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT253","FAST","male","black",1,1,NA,0,1,1,1,1,1,1
"FT254","FAST","female","black",1,0,NA,1,1,1,1,1,1,1
"FT255","FAST","female","white",1,0,NA,1,0,0,1,1,1,1
"FT256","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT258","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT259","FAST","male","white",1,1,NA,1,1,1,1,1,1,0
"FT260","FAST","female","black",1,1,NA,1,1,1,1,1,1,1
"FT261","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT262","FAST","female","white",1,0,NA,1,1,0,1,1,1,1
"FT263","FAST","male","white",1,1,NA,1,1,1,1,1,1,0
"FT264","FAST","female","white",1,1,NA,1,1,1,1,1,0,1
"FT265","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT266","FAST","male","black",1,0,NA,1,1,1,1,1,1,1
"FT267","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT268","FAST","male","white",1,0,NA,0,0,0,0,0,0,1
"FT269","FAST","male","white",0,0,NA,0,0,0,0,0,0,1
"FT270","FAST","female","white",0,0,NA,0,0,0,0,0,0,1
"FT271","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT272","FAST","female","white",1,0,NA,1,1,1,1,1,1,1
"FT273","FAST","male","white",1,1,NA,1,1,1,1,1,1,0
"FT274","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT275","FAST","male","white",0,0,NA,0,0,0,0,0,0,1
"FT276","FAST","male","white",1,0,NA,1,1,1,0,1,1,1
"FT277","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT278","FAST","female","black",1,0,NA,1,0,1,1,1,1,0
"FT280","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT281","FAST","female","black",1,0,NA,0,1,1,1,1,1,1
"FT283","FAST","female","black",1,0,NA,1,0,1,1,1,1,1
"FT284","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT285","FAST","male","black",0,0,NA,0,0,0,1,0,1,1
"FT286","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT287","FAST","male","white",0,0,NA,0,0,0,0,0,0,1
"FT288","FAST","male","black",1,0,NA,1,1,1,1,1,1,0
"FT291","FAST","male","white",1,1,NA,1,1,0,1,1,0,0
"FT292","FAST","male","white",1,0,NA,0,1,1,1,1,1,1
"FT293","FAST","female","white",0,0,NA,0,0,0,0,0,0,0
"FT295","FAST","female","black",0,0,NA,1,0,0,1,1,1,0
"FT296","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT297","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT298","FAST","male","black",1,0,NA,1,1,1,1,1,1,1
"FT299","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT300","FAST","female","white",1,0,NA,0,1,0,1,1,1,0
"FT304","FAST","female","white",1,1,NA,1,1,1,1,1,1,1
"FT306","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT307","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT308","FAST","male","white",0,0,NA,0,0,0,0,0,0,0
"FT309","FAST","male","white",1,0,NA,1,1,1,1,1,1,1
"FT310","FAST","female","white",1,0,NA,0,0,1,0,0,0,1
"FT311","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT312","FAST","male","white",1,0,NA,1,1,1,1,1,1,1
"FT313","FAST","female","white",1,0,NA,0,0,0,1,1,0,1
"FT314","FAST","male","white",1,1,NA,1,1,1,1,1,1,0
"FT315","FAST","male","black",1,0,NA,0,1,0,1,1,0,1
"FT316","FAST","female","white",0,0,NA,0,0,0,1,1,0,1
"FT317","FAST","female","white",1,1,NA,1,1,1,1,1,1,1
"FT318","FAST","male","black",1,0,NA,0,0,1,0,1,1,1
"FT319","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT320","FAST","female","black",1,1,NA,1,1,1,1,1,1,1
"FT321","FAST","male","white",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"FT323","FAST","male","white",1,1,NA,1,0,1,1,1,1,0
"FT324","FAST","female","white",0,0,NA,0,0,0,1,0,0,1
"FT325","FAST","male","black",1,1,NA,0,1,1,1,1,1,1
"FT326","FAST","male","black",1,0,NA,1,0,0,0,0,0,1
"FT327","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT328","FAST","female","white",1,1,NA,1,1,1,1,1,1,1
"FT329","FAST","female","white",1,0,NA,0,1,1,1,1,1,1
"FT330","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT331","FAST","female","black",0,0,NA,0,0,0,0,1,0,0
"FT332","FAST","male","black",1,0,NA,1,0,0,0,1,1,0
"FT333","FAST","male","white",0,0,NA,0,0,0,0,0,0,1
"FT335","FAST","male","white",1,0,NA,1,1,1,1,1,1,1
"FT337","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT338","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT339","FAST","male","black",1,0,NA,0,1,1,1,1,1,1
"FT340","FAST","female","black",1,1,NA,1,1,1,1,1,1,0
"FT341","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT342","FAST","male","white",0,0,NA,0,0,0,0,0,0,1
"FT343","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT344","FAST","female","white",1,0,NA,0,1,1,0,1,0,1
"FT345","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT346","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT347","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT348","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT349","FAST","male","black",0,0,NA,0,0,0,0,1,0,0
"FT350","FAST","male","white",1,0,NA,0,1,1,1,1,1,1
"FT351","FAST","female","white",0,0,NA,0,0,0,0,0,0,1
"FT352","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT353","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT354","FAST","male","white",1,1,NA,1,1,1,0,1,1,1
"FT355","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT356","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT357","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT358","FAST","female","black",1,0,NA,0,1,1,1,1,1,1
"FT359","FAST","male","black",1,0,NA,1,1,1,0,1,0,1
"FT360","FAST","male","white",1,1,NA,0,1,1,1,1,1,0
"FT361","FAST","female","black",0,0,NA,0,0,1,1,0,1,1
"FT362","FAST","male","white",0,0,NA,0,0,0,0,0,0,0
"FT363","FAST","female","black",1,1,NA,1,1,1,1,1,1,0
"FT364","FAST","male","white",0,0,NA,0,0,0,0,0,0,1
"FT365","FAST","male","black",1,1,NA,0,1,1,1,1,1,0
"FT366","FAST","female","white",1,1,NA,1,1,1,1,1,1,1
"FT367","FAST","male","black",1,0,NA,0,1,1,0,1,1,0
"FT368","FAST","male","black",1,0,NA,0,1,0,1,0,1,0
"FT369","FAST","male","white",1,1,NA,1,1,0,1,1,0,1
"FT370","FAST","male","black",1,0,NA,1,1,1,1,1,1,1
"FT371","FAST","male","white",1,0,NA,0,0,0,0,1,0,0
"FT372","FAST","female","black",0,0,NA,0,0,0,0,0,0,0
"FT373","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT374","FAST","female","black",1,1,NA,1,1,1,1,1,1,1
"FT376","FAST","male","white",1,1,NA,1,1,1,1,1,1,0
"FT377","FAST","female","white",0,0,NA,0,0,0,0,1,0,1
"FT378","FAST","female","white",1,0,NA,0,1,1,1,1,1,0
"FT380","FAST","male","white",1,1,NA,0,1,1,1,1,1,1
"FT381","FAST","male","black",1,0,NA,0,0,0,0,0,0,1
"FT382","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT383","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT384","FAST","female","white",1,0,NA,0,1,0,1,1,1,1
"FT385","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT386","FAST","female","white",1,0,NA,1,1,1,1,1,1,1
"FT387","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT388","FAST","male","black",1,0,NA,1,1,1,1,1,1,1
"FT389","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT390","FAST","male","white",0,0,NA,0,0,0,0,0,0,1
"FT391","FAST","male","black",1,0,NA,1,1,1,1,1,1,1
"FT392","FAST","male","black",1,0,NA,1,1,0,1,1,0,1
"FT393","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT394","FAST","female","black",1,1,NA,1,1,1,1,1,1,1
"FT395","FAST","male","white",1,0,NA,0,1,0,1,1,1,0
"FT396","FAST","male","white",1,0,NA,0,0,0,0,1,1,1
"FT397","FAST","female","white",1,1,NA,1,1,1,1,1,1,1
"FT398","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT399","FAST","female","white",0,0,NA,0,0,0,1,0,0,1
"FT401","FAST","male","white",0,0,NA,0,1,0,0,0,1,1
"FT402","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT403","FAST","female","white",1,0,NA,1,0,1,0,1,1,0
"FT404","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT406","FAST","female","black",1,1,NA,1,1,1,1,1,1,1
"FT407","FAST","male","black",1,0,NA,0,1,1,0,1,0,1
"FT408","FAST","male","black",1,0,NA,0,1,0,1,1,0,1
"FT409","FAST","female","white",1,0,NA,1,1,1,1,1,1,1
"FT410","FAST","female","white",1,1,NA,1,1,1,1,1,1,1
"FT412","FAST","male","black",1,0,NA,0,0,0,0,0,1,1
"FT414","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT416","FAST","male","black",0,0,NA,0,0,0,1,1,1,1
"FT417","FAST","male","white",1,1,NA,1,1,1,1,0,1,1
"FT418","FAST","male","white",1,0,NA,1,1,1,1,1,1,1
"FT419","FAST","female","black",1,1,NA,1,1,1,1,1,1,1
"FT420","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT422","FAST","male","white",1,0,NA,0,1,0,0,0,0,1
"FT423","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT424","FAST","male","black",1,0,NA,0,0,1,0,0,1,0
"FT425","FAST","male","white",1,1,NA,1,1,1,1,1,1,0
"FT426","FAST","male","white",1,1,NA,1,1,1,1,1,1,0
"FT427","FAST","male","black",1,0,NA,1,1,1,1,1,0,1
"FT428","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT429","FAST","female","black",1,0,NA,1,1,1,1,1,1,1
"FT430","FAST","female","black",1,0,NA,1,1,0,1,1,1,0
"FT431","FAST","male","black",0,0,NA,0,0,0,1,1,1,1
"FT432","FAST","female","white",0,0,NA,0,0,0,0,1,0,0
"FT433","FAST","male","white",0,0,NA,0,0,0,0,0,0,1
"FT434","FAST","female","black",1,1,NA,0,0,1,1,1,1,1
"FT436","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT437","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT438","FAST","female","black",1,0,NA,0,1,1,0,1,0,0
"FT439","FAST","female","black",1,1,NA,1,1,1,1,1,0,1
"FT440","FAST","male","black",1,0,NA,0,1,0,1,1,1,0
"FT442","FAST","female","black",0,0,NA,0,0,0,0,1,0,1
"FT443","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
